,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion,nonCircular,initialLevel
AKL,2020,Battery,,,30,1,,
AKL,2020,H2_storage,,,50,1,,
AKL,2030,Battery,,,30,,,
AKL,2035,H2_storage,,,50,,,
AKL,2050,H2_storage,,,50,,,
BOP,2000,Hydro_reservoir,,,3000,1,,
BOP,2020,Battery,,,30,1,,
BOP,2020,H2_storage,,,50,1,,
BOP,2020,Hydro_reservoir,,,3000,1,,
BOP,2025,Hydro_reservoir,,,3000,1,,
BOP,2030,Battery,,,30,,,
BOP,2030,Hydro_reservoir,,,3000,1,,
BOP,2035,H2_storage,,,50,,,
BOP,2035,Hydro_reservoir,,,3000,1,,
BOP,2040,Hydro_reservoir,,,3000,1,,
BOP,2045,Hydro_reservoir,,,3000,1,,
BOP,2050,H2_storage,,,50,,,
BOP,2050,Hydro_reservoir,,,3000,1,,
CAN,2000,Hydro_reservoir,2517,,3000,1,,
CAN,2020,Battery,,,30,1,,
CAN,2020,H2_storage,,,50,1,,
CAN,2020,Hydro_reservoir,,,3000,1,,
CAN,2025,Hydro_reservoir,,,3000,1,,
CAN,2030,Battery,,,30,,,
CAN,2030,Hydro_reservoir,,,3000,1,,
CAN,2035,H2_storage,,,50,,,
CAN,2035,Hydro_reservoir,,,3000,1,,
CAN,2040,Hydro_reservoir,,,3000,1,,
CAN,2045,Hydro_reservoir,,,3000,1,,
CAN,2050,H2_storage,,,50,,,
CAN,2050,Hydro_reservoir,,,3000,1,,
CEN,2000,Hydro_reservoir,,,3000,1,,
CEN,2020,Battery,,,30,1,,
CEN,2020,H2_storage,,,50,1,,
CEN,2020,Hydro_reservoir,,,3000,1,,
CEN,2025,Hydro_reservoir,,,3000,1,,
CEN,2030,Battery,,,30,,,
CEN,2030,Hydro_reservoir,,,3000,1,,
CEN,2035,H2_storage,,,50,,,
CEN,2035,Hydro_reservoir,,,3000,1,,
CEN,2040,Hydro_reservoir,,,3000,1,,
CEN,2045,Hydro_reservoir,,,3000,1,,
CEN,2050,H2_storage,,,50,,,
CEN,2050,Hydro_reservoir,,,3000,1,,
HBY,2000,Hydro_reservoir,154.3,,3000,1,,
HBY,2020,Battery,,,30,1,,
HBY,2020,H2_storage,,,50,1,,
HBY,2020,Hydro_reservoir,,,3000,1,,
HBY,2025,Hydro_reservoir,,,3000,1,,
HBY,2030,Battery,,,30,,,
HBY,2030,Hydro_reservoir,,,3000,1,,
HBY,2035,H2_storage,,,50,,,
HBY,2035,Hydro_reservoir,,,3000,1,,
HBY,2040,Hydro_reservoir,,,3000,1,,
HBY,2045,Hydro_reservoir,,,3000,1,,
HBY,2050,H2_storage,,,50,,,
HBY,2050,Hydro_reservoir,,,3000,1,,
NEL,2000,Hydro_reservoir,,,3000,1,,
NEL,2020,Battery,,,30,1,,
NEL,2020,H2_storage,,,50,1,,
NEL,2020,Hydro_reservoir,,,3000,1,,
NEL,2025,Hydro_reservoir,,,3000,1,,
NEL,2030,Battery,,,30,,,
NEL,2030,Hydro_reservoir,,,3000,1,,
NEL,2035,H2_storage,,,50,,,
NEL,2035,Hydro_reservoir,,,3000,1,,
NEL,2040,Hydro_reservoir,,,3000,1,,
NEL,2045,Hydro_reservoir,,,3000,1,,
NEL,2050,H2_storage,,,50,,,
NEL,2050,Hydro_reservoir,,,3000,1,,
NIS,2020,Battery,,,30,1,,
NIS,2020,H2_storage,,,50,1,,
NIS,2030,Battery,,,30,,,
NIS,2035,H2_storage,,,50,,,
NIS,2050,H2_storage,,,50,,,
OTG,2000,Hydro_reservoir,729.6,,3000,1,,
OTG,2020,Battery,,,30,1,,
OTG,2020,H2_storage,,,50,1,,
OTG,2020,Hydro_reservoir,,,3000,1,,
OTG,2025,Hydro_reservoir,,,3000,1,,
OTG,2030,Battery,,,30,,,
OTG,2030,Hydro_reservoir,,,3000,1,,
OTG,2035,H2_storage,,,50,,,
OTG,2035,Hydro_reservoir,,,3000,1,,
OTG,2040,Hydro_reservoir,,,3000,1,,
OTG,2045,Hydro_reservoir,,,3000,1,,
OTG,2050,H2_storage,,,50,,,
OTG,2050,Hydro_reservoir,,,3000,1,,
TRN,2020,Battery,,,30,1,,
TRN,2020,H2_storage,,,50,1,,
TRN,2030,Battery,,,30,,,
TRN,2035,H2_storage,,,50,,,
TRN,2050,H2_storage,,,50,,,
WEL,2020,Battery,,,30,1,,
WEL,2020,H2_storage,,,50,1,,
WEL,2030,Battery,,,30,,,
WEL,2035,H2_storage,,,50,,,
WEL,2050,H2_storage,,,50,,,
WTO,2000,Hydro_reservoir,587.1,,3000,1,,
WTO,2020,Battery,,,30,1,,
WTO,2020,H2_storage,,,50,1,,
WTO,2020,Hydro_reservoir,,,3000,1,,
WTO,2025,Hydro_reservoir,,,3000,1,,
WTO,2030,Battery,,,30,,,
WTO,2030,Hydro_reservoir,,,3000,1,,
WTO,2035,H2_storage,,,50,,,
WTO,2035,Hydro_reservoir,,,3000,1,,
WTO,2040,Hydro_reservoir,,,3000,1,,
WTO,2045,Hydro_reservoir,,,3000,1,,
WTO,2050,H2_storage,,,50,,,
WTO,2050,Hydro_reservoir,,,3000,1,,
